,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
0,5,2500,virginia,0,707.064925ms,2018-08-27 17:46:10.180178+00:00,virginia,server,78,3,alia-virginia-78,89,2018-08-27 17:46:09.473110+00:00,3535.743199254298,0.4
1,24,5016,virginia,0,728.914406ms,2018-08-27 17:15:17.124860+00:00,virginia,server,78,5,alia-virginia-78,66,2018-08-27 17:15:16.395945+00:00,6881.466409102634,0.4
2,29,5017,virginia,0,773.295492ms,2018-08-28 17:09:28.916292+00:00,virginia,server,78,5,alia-virginia-78,239,2018-08-28 17:09:28.142996+00:00,6487.817466806078,0.4
3,15,5010,virginia,0,873.549896ms,2018-08-28 20:49:29.678960+00:00,virginia,server,78,5,alia-virginia-78,393,2018-08-28 20:49:28.805410+00:00,5735.219044660043,0.4
4,26,5018,virginia,0,513.55055ms,2018-08-27 18:11:29.026387+00:00,virginia,server,78,3,alia-virginia-78,110,2018-08-27 18:11:28.512836+00:00,9771.190002619995,0.4
5,27,5022,virginia,0,859.831659ms,2018-08-28 21:02:19.671718+00:00,virginia,server,78,5,alia-virginia-78,405,2018-08-28 21:02:18.811886+00:00,5840.678169306627,0.4
6,29,5017,virginia,0,602.285296ms,2018-08-28 18:33:15.197110+00:00,virginia,server,78,3,alia-virginia-78,281,2018-08-28 18:33:14.594829+00:00,8329.939371456945,0.4
7,31,5022,virginia,0,547.749828ms,2018-08-27 16:33:01.875200+00:00,virginia,server,78,3,alia-virginia-78,31,2018-08-27 16:33:01.327450+00:00,9168.419127280857,0.4
8,21,5019,virginia,0,779.762304ms,2018-08-27 18:56:11.614220+00:00,virginia,server,78,5,alia-virginia-78,147,2018-08-27 18:56:10.834457+00:00,6436.576857144405,0.4
9,3,1500,virginia,0,720.913188ms,2018-08-28 18:50:25.827513+00:00,virginia,server,78,5,alia-virginia-78,297,2018-08-28 18:50:25.106600+00:00,2080.6943540059083,0.4
10,27,5022,virginia,0,570.595889ms,2018-08-27 16:28:12.501573+00:00,virginia,server,78,3,alia-virginia-78,27,2018-08-27 16:28:11.930977+00:00,8801.325240532884,0.4
11,26,5018,virginia,0,753.28745ms,2018-08-28 18:30:02.875932+00:00,virginia,server,78,3,alia-virginia-78,278,2018-08-28 18:30:02.122645+00:00,6661.4676774450445,0.4
12,25,5025,virginia,0,970.15734ms,2018-08-27 19:00:59.908065+00:00,virginia,server,78,5,alia-virginia-78,151,2018-08-27 19:00:58.937908+00:00,5179.572212482565,0.4
13,7,3500,virginia,0,923.566248ms,2018-08-28 20:40:57.667070+00:00,virginia,server,78,5,alia-virginia-78,385,2018-08-28 20:40:56.743510+00:00,3789.657761507976,0.4
14,28,5012,virginia,0,710.561656ms,2018-08-27 17:20:06.398020+00:00,virginia,server,78,5,alia-virginia-78,70,2018-08-27 17:20:05.687458+00:00,7053.57509468538,0.4
15,22,5016,virginia,0,535.092247ms,2018-08-27 18:06:39.443615+00:00,virginia,server,78,3,alia-virginia-78,106,2018-08-27 18:06:38.908522+00:00,9374.084614610385,0.4
16,35,5005,virginia,0,802.520747ms,2018-08-28 21:10:53.612148+00:00,virginia,server,78,5,alia-virginia-78,413,2018-08-28 21:10:52.809627+00:00,6236.5988900720595,0.4
17,2,1000,virginia,0,562.27828ms,2018-08-28 18:04:18.441160+00:00,virginia,server,78,3,alia-virginia-78,254,2018-08-28 18:04:17.878882+00:00,1778.4787987898092,0.4
18,17,5015,virginia,0,837.359592ms,2018-08-28 19:05:24.754047+00:00,virginia,server,78,5,alia-virginia-78,311,2018-08-28 19:05:23.916687+00:00,5989.063776079608,0.4
19,24,5016,virginia,0,669.974272ms,2018-08-28 16:19:16.035044+00:00,virginia,server,78,3,alia-virginia-78,192,2018-08-28 16:19:15.365070+00:00,7486.8546593980245,0.4
20,35,5005,virginia,0,658.078227ms,2018-08-28 16:31:00.535910+00:00,virginia,server,78,3,alia-virginia-78,203,2018-08-28 16:30:59.877835+00:00,7605.478793632843,0.4
21,10,5000,virginia,0,898.747487ms,2018-08-28 19:59:09.498831+00:00,virginia,server,78,3,alia-virginia-78,346,2018-08-28 19:59:08.600083+00:00,5563.2978921475415,0.4
22,5,2500,virginia,0,776.378378ms,2018-08-28 16:43:51.174750+00:00,virginia,server,78,5,alia-virginia-78,215,2018-08-28 16:43:50.398372+00:00,3220.0793721743757,0.4
23,14,5012,virginia,0,730.469827ms,2018-08-28 20:03:26.366964+00:00,virginia,server,78,3,alia-virginia-78,350,2018-08-28 20:03:25.636494+00:00,6861.337477256265,0.4
24,32,5024,virginia,0,808.37311ms,2018-08-28 17:12:40.860784+00:00,virginia,server,78,5,alia-virginia-78,242,2018-08-28 17:12:40.052411+00:00,6214.951905067698,0.4
25,13,5005,virginia,0,924.234508ms,2018-08-28 19:01:08.002559+00:00,virginia,server,78,5,alia-virginia-78,307,2018-08-28 19:01:07.078324+00:00,5415.292284239186,0.4
26,16,5008,virginia,0,684.173515ms,2018-08-28 16:10:44.543280+00:00,virginia,server,78,3,alia-virginia-78,184,2018-08-28 16:10:43.859109+00:00,7319.780567653222,0.4
27,31,5022,virginia,0,909.050096ms,2018-08-28 21:06:36.591470+00:00,virginia,server,78,5,alia-virginia-78,409,2018-08-28 21:06:35.682421+00:00,5524.448016779044,0.4
28,1,500,virginia,0,648.168345ms,2018-08-27 17:41:20.545148+00:00,virginia,server,78,3,alia-virginia-78,85,2018-08-27 17:41:19.896979+00:00,771.4045338020943,0.4
29,34,5032,virginia,0,607.889773ms,2018-08-28 20:24:53.916171+00:00,virginia,server,78,3,alia-virginia-78,370,2018-08-28 20:24:53.308280+00:00,8277.816511316765,0.4
30,25,5025,virginia,0,784.470942ms,2018-08-28 17:05:12.671168+00:00,virginia,server,78,5,alia-virginia-78,235,2018-08-28 17:05:11.886697+00:00,6405.590992559671,0.4
31,33,5016,virginia,0,750.048481ms,2018-08-28 19:22:31.941548+00:00,virginia,server,78,5,alia-virginia-78,327,2018-08-28 19:22:31.191500+00:00,6687.567706706682,0.4
32,10,5000,virginia,0,1.059831359s,2018-08-28 18:12:53.561459+00:00,virginia,server,78,3,alia-virginia-78,262,2018-08-28 18:12:52.501628+00:00,4717.731700935639,0.4
33,37,5032,virginia,0,752.13237ms,2018-08-28 19:26:48.496496+00:00,virginia,server,78,5,alia-virginia-78,331,2018-08-28 19:26:47.744364+00:00,6690.311706701308,0.4
34,22,5016,virginia,0,696.034043ms,2018-08-28 18:25:46.991285+00:00,virginia,server,78,3,alia-virginia-78,274,2018-08-28 18:25:46.295251+00:00,7206.544062673095,0.4
35,30,5010,virginia,0,598.712984ms,2018-08-28 20:20:34.578403+00:00,virginia,server,78,3,alia-virginia-78,366,2018-08-28 20:20:33.979690+00:00,8367.949474768699,0.4
36,9,4500,virginia,0,869.331453ms,2018-08-27 17:51:00.794050+00:00,virginia,server,78,3,alia-virginia-78,93,2018-08-27 17:50:59.924719+00:00,5176.391564426693,0.4
37,13,5005,virginia,0,985.455538ms,2018-08-28 16:52:24.120352+00:00,virginia,server,78,5,alia-virginia-78,223,2018-08-28 16:52:23.134897+00:00,5078.869423330594,0.4
