,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
0,5,2500,virginia,0,809.924479ms,2018-08-24 19:28:45.570861+00:00,virginia,server,78,3,alia-virginia-78,89,2018-08-24 19:28:44.760937+00:00,3086.7075447413413,0.3.6
1,23,5016,virginia,0,1.130196912s,2018-08-24 18:21:26.155602+00:00,virginia,server,78,5,alia-virginia-78,66,2018-08-24 18:21:25.025406+00:00,4438.164665592362,0.3.6
2,29,5017,virginia,0,1.071842655s,2018-08-25 00:40:06.721097+00:00,virginia,server,78,5,alia-virginia-78,239,2018-08-25 00:40:05.649200+00:00,4680.724336353268,0.3.6
3,26,5018,virginia,0,880.774771ms,2018-08-24 19:54:01.657746+00:00,virginia,server,78,3,alia-virginia-78,110,2018-08-24 19:54:00.776970+00:00,5697.256739430381,0.3.6
4,10,5000,virginia,0,1.544977766s,2018-08-24 17:37:07.639947+00:00,virginia,server,78,5,alia-virginia-78,31,2018-08-24 17:37:06.094969+00:00,3236.292527979331,0.3.6
5,21,5019,virginia,0,1.178405839s,2018-08-24 20:38:41.506943+00:00,virginia,server,78,5,alia-virginia-78,147,2018-08-24 20:38:40.328500+00:00,4259.143865291047,0.3.6
6,18,5004,virginia,0,799.282048ms,2018-08-24 17:32:12.342125+00:00,virginia,server,78,3,alia-virginia-78,27,2018-08-24 17:32:11.542843+00:00,6260.618529493108,0.3.6
7,25,5025,virginia,0,946.760493ms,2018-08-24 20:43:30.152834+00:00,virginia,server,78,5,alia-virginia-78,151,2018-08-24 20:43:29.206074+00:00,5307.572545699792,0.3.6
8,28,5012,virginia,0,1.126374627s,2018-08-24 18:26:14.673510+00:00,virginia,server,78,5,alia-virginia-78,70,2018-08-24 18:26:13.547135+00:00,4449.674095863667,0.3.6
9,22,5016,virginia,0,842.115017ms,2018-08-24 19:49:12.857149+00:00,virginia,server,78,3,alia-virginia-78,106,2018-08-24 19:49:12.015030+00:00,5956.431008521013,0.3.6
10,24,5016,virginia,0,930.659358ms,2018-08-24 23:44:48.663551+00:00,virginia,server,78,3,alia-virginia-78,192,2018-08-24 23:44:47.732892+00:00,5389.72714009931,0.3.6
11,35,5005,virginia,0,744.810709ms,2018-08-24 23:57:40.298935+00:00,virginia,server,78,3,alia-virginia-78,203,2018-08-24 23:57:39.554125+00:00,6719.828191944001,0.3.6
12,5,2500,virginia,0,907.311358ms,2018-08-25 00:11:52.811325+00:00,virginia,server,78,5,alia-virginia-78,215,2018-08-25 00:11:51.904014+00:00,2755.3937002516836,0.3.6
13,32,5024,virginia,0,936.667951ms,2018-08-25 00:43:37.375504+00:00,virginia,server,78,5,alia-virginia-78,242,2018-08-25 00:43:36.438830+00:00,5363.693713056272,0.3.6
14,16,5008,virginia,0,860.179736ms,2018-08-24 23:35:26.220886+00:00,virginia,server,78,3,alia-virginia-78,184,2018-08-24 23:35:25.360706+00:00,5822.039034874451,0.3.6
15,1,500,virginia,0,665.316098ms,2018-08-24 19:23:54.920561+00:00,virginia,server,78,3,alia-virginia-78,85,2018-08-24 19:23:54.255245+00:00,751.5224740586391,0.3.6
16,25,5025,virginia,0,969.627393ms,2018-08-25 00:35:24.134910+00:00,virginia,server,78,5,alia-virginia-78,235,2018-08-25 00:35:23.165283+00:00,5182.403092442336,0.3.6
17,9,4500,virginia,0,1.04941879s,2018-08-24 19:33:34.062427+00:00,virginia,server,78,3,alia-virginia-78,93,2018-08-24 19:33:33.013009+00:00,4288.087885295059,0.3.6
18,13,5005,virginia,0,1.298065377s,2018-08-25 00:21:17.061654+00:00,virginia,server,78,5,alia-virginia-78,223,2018-08-25 00:21:15.763580+00:00,3855.7379995506963,0.3.6
19,3,1500,virginia,0,790.805728ms,2018-08-24 23:20:10.020777+00:00,virginia,server,78,3,alia-virginia-78,171,2018-08-24 23:20:09.229900+00:00,1896.799614481295,0.3.6
20,42,5040,virginia,0,864.187282ms,2018-08-24 20:13:16.008650+00:00,virginia,server,78,3,alia-virginia-78,126,2018-08-24 20:13:15.144463+00:00,5832.069164841054,0.3.6
21,29,5017,virginia,0,808.765897ms,2018-08-24 18:02:07.526002+00:00,virginia,server,78,3,alia-virginia-78,50,2018-08-24 18:02:06.717236+00:00,6203.278375868512,0.3.6
22,4,2000,virginia,0,980.476415ms,2018-08-24 20:18:11.522311+00:00,virginia,server,78,5,alia-virginia-78,130,2018-08-24 20:18:10.541835+00:00,2039.8246907346568,0.3.6
23,25,5025,virginia,0,765.089734ms,2018-08-24 17:57:19.010780+00:00,virginia,server,78,3,alia-virginia-78,46,2018-08-24 17:57:18.245699+00:00,6567.8570456416555,0.3.6
24,9,4500,virginia,0,1.151788907s,2018-08-25 00:16:34.605355+00:00,virginia,server,78,5,alia-virginia-78,219,2018-08-25 00:16:33.453566+00:00,3906.9659141976786,0.3.6
25,20,5020,virginia,0,866.356415ms,2018-08-24 23:40:08.099078+00:00,virginia,server,78,3,alia-virginia-78,188,2018-08-24 23:40:07.232722+00:00,5794.381980769427,0.3.6
26,41,5002,virginia,0,937.49056ms,2018-08-24 21:02:49.062987+00:00,virginia,server,78,5,alia-virginia-78,167,2018-08-24 21:02:48.125497+00:00,5335.520391799999,0.3.6
27,2,1000,virginia,0,805.309124ms,2018-08-24 17:05:12.031524+00:00,virginia,server,78,5,alia-virginia-78,11,2018-08-24 17:05:11.226215+00:00,1241.7591831481598,0.3.6
28,1,500,virginia,0,689.129122ms,2018-08-24 17:03:59.921721+00:00,virginia,server,78,5,alia-virginia-78,10,2018-08-24 17:03:59.232592+00:00,725.5534326410312,0.3.6
